Wavelength,Reflectance,Unc,f
0.45,0.8919,0.0192,1.0
0.453,0.9172,0.0175,1.0
0.455,0.9182,0.0161,1.0
0.458,0.8992,0.015,1.0
0.46,0.9089,0.0136,1.0
0.463,0.9126,0.0125,1.0
0.465,0.9256,0.0116,1.0
0.468,0.9376,0.0108,1.0
0.47,0.931,0.0099,1.0
0.473,0.9309,0.009,1.0
0.475,0.9432,0.0083,1.0
0.478,0.935,0.0075,1.0
0.48,0.9507,0.0071,1.0
0.483,0.9336,0.0065,1.0
0.485,0.9428,0.0062,1.0
0.488,0.9509,0.0059,1.0
0.49,0.9627,0.0058,1.0
0.493,0.9486,0.0057,1.0
0.495,0.9472,0.0052,1.0
0.498,0.9638,0.005,1.0
0.5,0.9607,0.0047,1.0
0.503,0.9539,0.0044,1.0
0.505,0.9639,0.0044,1.0
0.508,0.9697,0.0043,1.0
0.51,0.9661,0.0047,1.0
0.52,0.9783,0.0038,1.0
0.523,0.9842,0.0038,1.0
0.525,0.9959,0.0043,1.0
0.528,0.9907,0.004,1.0
0.53,0.9895,0.0038,1.0
0.533,0.9973,0.0036,1.0
0.535,0.9936,0.0032,1.0
0.538,0.9929,0.003,1.0
0.54,0.9955,0.0028,1.0
0.543,0.9996,0.0028,1.0
0.545,0.9993,0.0027,1.0
0.548,1.0012,0.0026,1.0
0.55,1.0003,0.0026,1.0
0.553,1.0017,0.0025,1.0
0.555,0.999,0.0025,1.0
0.558,1.0033,0.0024,1.0
0.56,1.0034,0.0024,1.0
0.563,1.0075,0.0023,1.0
0.565,1.0104,0.0023,1.0
0.568,1.01,0.0022,1.0
0.57,1.0106,0.0022,1.0
0.573,1.0143,0.0021,1.0
0.575,1.0178,0.0021,1.0
0.578,1.0171,0.0021,1.0
0.58,1.0166,0.0021,1.0
0.583,1.0166,0.0021,1.0
0.585,1.0165,0.0021,1.0
0.588,1.0158,0.0021,1.0
0.59,1.0157,0.002,1.0
0.593,1.0207,0.002,1.0
0.595,1.0209,0.002,1.0
0.598,1.0185,0.0021,1.0
0.6,1.0244,0.002,1.0
0.603,1.0229,0.002,1.0
0.605,1.0265,0.002,1.0
0.608,1.0278,0.0019,1.0
0.61,1.0291,0.0019,1.0
0.613,1.0266,0.0019,1.0
0.615,1.0279,0.0018,1.0
0.618,1.032,0.0018,1.0
0.62,1.0363,0.0018,1.0
0.623,1.0339,0.0018,1.0
0.625,1.0361,0.0017,1.0
0.628,1.0378,0.0017,1.0
0.63,1.037,0.0017,1.0
0.633,1.0409,0.0017,1.0
0.635,1.0409,0.0017,1.0
0.638,1.0418,0.0017,1.0
0.64,1.0425,0.0017,1.0
0.643,1.0473,0.0017,1.0
0.645,1.0468,0.0017,1.0
0.648,1.0476,0.0017,1.0
0.65,1.0502,0.0016,1.0
0.653,1.0506,0.0016,1.0
0.655,1.0529,0.0016,1.0
0.658,1.052,0.0016,1.0
0.66,1.0523,0.0016,1.0
0.663,1.0514,0.0016,1.0
0.665,1.056,0.0016,1.0
0.668,1.0584,0.0015,1.0
0.67,1.0585,0.0015,1.0
0.673,1.0623,0.0015,1.0
0.675,1.0641,0.0015,1.0
0.678,1.0623,0.0015,1.0
0.68,1.0679,0.0015,1.0
0.683,1.0634,0.0015,1.0
0.685,1.0675,0.0015,1.0
0.688,1.0712,0.0015,1.0
0.69,1.0715,0.0015,1.0
0.693,1.0764,0.0025,1.0
0.695,1.068,0.0016,1.0
0.698,1.0717,0.0016,1.0
0.7,1.0741,0.0016,1.0
0.703,1.0763,0.0016,1.0
0.705,1.0781,0.0016,1.0
0.708,1.0799,0.0016,1.0
0.71,1.0837,0.0016,1.0
0.713,1.082,0.0016,1.0
0.715,1.0846,0.0016,1.0
0.718,1.0879,0.0016,1.0
0.72,1.0849,0.0016,1.0
0.723,1.0778,0.0017,1.0
0.725,1.085,0.0017,1.0
0.728,1.0842,0.0017,1.0
0.73,1.0848,0.0017,1.0
0.733,1.0859,0.0017,1.0
0.735,1.09,0.0016,1.0
0.738,1.0914,0.0016,1.0
0.74,1.0963,0.0016,1.0
0.743,1.0956,0.0016,1.0
0.745,1.0956,0.0016,1.0
0.748,1.0939,0.0016,1.0
0.75,1.0908,0.0016,1.0
0.753,1.0907,0.0016,1.0
0.755,1.0897,0.0016,1.0
0.758,1.0893,0.0016,1.0
0.768,1.0798,0.0031,1.0
0.77,1.0817,0.0023,1.0
0.773,1.0761,0.0017,1.0
0.775,1.0683,0.0017,1.0
0.778,1.0661,0.0017,1.0
0.78,1.0602,0.0017,1.0
0.783,1.0539,0.0017,1.0
0.785,1.0516,0.0017,1.0
0.788,1.0476,0.0018,1.0
0.79,1.0351,0.0018,1.0
0.793,1.0343,0.0018,1.0
0.795,1.0332,0.0018,1.0
0.798,1.0196,0.0018,1.0
0.8,1.0118,0.0018,1.0
0.803,1.0108,0.0018,1.0
0.805,1.0045,0.0018,1.0
0.808,0.996,0.0018,1.0
0.81,0.9875,0.0019,1.0
0.813,0.9786,0.0019,1.0
0.815,0.9638,0.0019,1.0
0.818,0.9528,0.0019,1.0
0.82,0.9632,0.0019,1.0
0.825,0.9447,0.0016,1.0
0.83,0.9302,0.0016,1.0
0.835,0.9138,0.0016,1.0
0.84,0.8975,0.0016,1.0
0.845,0.8821,0.0015,1.0
0.85,0.8658,0.0015,1.0
0.855,0.8529,0.0015,1.0
0.86,0.8387,0.0015,1.0
0.865,0.8256,0.0014,1.0
0.87,0.8143,0.0014,1.0
0.875,0.8015,0.0014,1.0
0.88,0.7908,0.0013,1.0
0.885,0.7812,0.0013,1.0
0.89,0.7711,0.0012,1.0
0.895,0.764,0.0012,1.0
0.9,0.7571,0.0012,1.0
0.905,0.7504,0.0012,1.0
0.91,0.7436,0.0012,1.0
0.915,0.7401,0.0012,1.0
0.92,0.7348,0.0011,1.0
0.78,1.0566,0.0076,2.0
0.785,1.0456,0.0073,2.0
0.79,1.0379,0.0072,2.0
0.795,1.0291,0.0071,2.0
0.8,1.0191,0.0069,2.0
0.805,1.0084,0.0067,2.0
0.81,0.9941,0.0067,2.0
0.815,0.9823,0.0067,2.0
0.82,0.9628,0.0065,2.0
0.825,0.9433,0.0063,2.0
0.83,0.9303,0.0062,2.0
0.835,0.9128,0.006,2.0
0.84,0.8977,0.0059,2.0
0.845,0.8868,0.0058,2.0
0.85,0.8654,0.0057,2.0
0.855,0.8473,0.0056,2.0
0.86,0.8355,0.0056,2.0
0.865,0.8182,0.0054,2.0
0.87,0.8038,0.0052,2.0
0.875,0.7962,0.0052,2.0
0.88,0.7844,0.0051,2.0
0.885,0.7721,0.005,2.0
0.89,0.7678,0.0049,2.0
0.895,0.7599,0.0049,2.0
0.9,0.7525,0.0049,2.0
0.905,0.7441,0.0048,2.0
0.91,0.7425,0.0048,2.0
0.915,0.7378,0.0049,2.0
0.92,0.7371,0.0047,2.0
0.925,0.7373,0.0048,2.0
0.93,0.7376,0.005,2.0
0.935,0.7358,0.0052,2.0
0.94,0.7358,0.0054,2.0
0.945,0.7399,0.0051,2.0
0.95,0.7475,0.005,2.0
0.955,0.7503,0.005,2.0
0.96,0.7611,0.0051,2.0
0.965,0.7698,0.005,2.0
0.97,0.7822,0.0046,2.0
0.975,0.7909,0.0046,2.0
0.98,0.8059,0.0046,2.0
0.985,0.8149,0.0045,2.0
0.99,0.8335,0.0045,2.0
0.995,0.845,0.0045,2.0
1.0,0.8611,0.0046,2.0
1.005,0.874,0.0046,2.0
1.01,0.8913,0.0047,2.0
1.015,0.9058,0.0047,2.0
1.02,0.9223,0.0047,2.0
1.025,0.9348,0.0047,2.0
1.03,0.9546,0.0049,2.0
1.035,0.9632,0.005,2.0
1.04,0.9711,0.0048,2.0
1.045,0.9909,0.0049,2.0
1.05,1.0015,0.0049,2.0
1.055,1.0127,0.0049,2.0
1.06,1.0302,0.0049,2.0
1.065,1.0386,0.005,2.0
1.07,1.0485,0.005,2.0
1.075,1.0624,0.005,2.0
1.08,1.068,0.005,2.0
1.085,1.0819,0.0051,2.0
1.09,1.0858,0.0051,2.0
1.095,1.0953,0.0051,2.0
1.1,1.1013,0.0051,2.0
1.105,1.1072,0.0052,2.0
1.11,1.1157,0.0055,2.0
1.115,1.114,0.0048,1.0
1.12,1.1187,0.0061,2.0
1.125,1.122,0.0071,1.0
1.13,1.1252,0.0061,2.0
1.135,1.1365,0.006,2.0
1.14,1.1395,0.0059,2.0
1.145,1.1499,0.0059,2.0
1.15,1.1544,0.0061,2.0
1.155,1.1457,0.0056,2.0
1.16,1.1459,0.0053,2.0
1.165,1.1502,0.0051,2.0
1.17,1.1523,0.0051,2.0
1.175,1.1556,0.005,2.0
1.18,1.1514,0.005,2.0
1.185,1.1546,0.005,2.0
1.19,1.151,0.005,2.0
1.195,1.1583,0.005,2.0
1.2,1.162,0.005,2.0
1.205,1.161,0.005,2.0
1.21,1.1676,0.005,2.0
1.215,1.1623,0.0049,2.0
1.22,1.1704,0.0049,2.0
1.225,1.1683,0.0049,2.0
1.23,1.1719,0.0048,2.0
1.235,1.1764,0.0048,2.0
1.24,1.1698,0.0048,2.0
1.245,1.1829,0.0049,2.0
1.25,1.182,0.0048,2.0
1.255,1.1886,0.0049,2.0
1.26,1.1887,0.0055,2.0
1.265,1.1994,0.0054,2.0
1.27,1.2038,0.005,2.0
1.275,1.1979,0.005,2.0
1.28,1.2039,0.005,2.0
1.285,1.2063,0.005,2.0
1.29,1.2052,0.0049,2.0
1.295,1.2062,0.0049,2.0
1.3,1.2063,0.0049,2.0
1.305,1.2124,0.0051,2.0
1.31,1.2092,0.0052,2.0
1.315,1.2128,0.0052,2.0
1.32,1.2191,0.0053,2.0
1.325,1.2188,0.0054,2.0
1.33,1.2226,0.0055,2.0
1.335,1.2149,0.0064,1.0
1.34,1.0,1.0,0.0
1.345,1.0,1.0,0.0
1.35,1.0,1.0,0.0
1.355,1.237,0.0099,1.0
1.36,1.2224,0.0211,1.0
1.365,1.2451,0.0111,1.0
1.37,1.0,1.0,0.0
1.375,1.0,1.0,0.0
1.38,1.2287,0.0151,1.0
1.385,1.0,1.0,0.0
1.39,1.243,0.0148,1.0
1.395,1.0,1.0,0.0
1.4,1.0,1.0,0.0
1.405,1.2389,0.0114,1.0
1.41,1.239,0.0093,1.0
1.415,1.2425,0.0091,2.0
1.42,1.2399,0.0084,2.0
1.425,1.2464,0.0079,2.0
1.43,1.2509,0.0077,2.0
1.435,1.2539,0.0075,2.0
1.44,1.2563,0.0073,2.0
1.445,1.2519,0.0071,2.0
1.45,1.2535,0.0067,2.0
1.455,1.2494,0.0065,2.0
1.46,1.2473,0.0064,2.0
1.465,1.2548,0.0065,2.0
1.47,1.2499,0.0065,2.0
1.475,1.2461,0.0065,2.0
1.48,1.2505,0.0064,2.0
1.485,1.2448,0.0061,2.0
1.49,1.2442,0.0059,2.0
1.495,1.245,0.0053,1.0
1.5,1.2334,0.0058,2.0
1.505,1.229,0.0061,1.0
1.51,1.2347,0.0057,2.0
1.515,1.2361,0.0056,2.0
1.52,1.232,0.0055,2.0
1.525,1.2322,0.0055,2.0
1.53,1.2278,0.0055,2.0
1.535,1.2229,0.0055,2.0
1.54,1.2227,0.0055,2.0
1.545,1.2178,0.0055,2.0
1.55,1.2159,0.0055,2.0
1.555,1.2156,0.0055,2.0
1.56,1.2105,0.0055,2.0
1.565,1.2107,0.0056,2.0
1.57,1.2077,0.0057,2.0
1.575,1.2047,0.0058,2.0
1.58,1.2038,0.0058,2.0
1.585,1.1973,0.0057,2.0
1.59,1.2003,0.0059,2.0
1.595,1.1942,0.0058,2.0
1.6,1.1881,0.0057,2.0
1.605,1.1829,0.0057,2.0
1.61,1.1779,0.0057,2.0
1.615,1.1735,0.0057,2.0
1.62,1.1688,0.0057,2.0
1.625,1.1588,0.0056,2.0
1.63,1.153,0.0056,2.0
1.635,1.1494,0.0056,2.0
1.64,1.1427,0.0056,2.0
1.645,1.1443,0.0057,2.0
1.65,1.1353,0.0057,2.0
1.655,1.133,0.0056,2.0
1.66,1.1273,0.0056,2.0
1.665,1.1192,0.0057,2.0
1.67,1.1124,0.0056,2.0
1.675,1.1127,0.0057,2.0
1.68,1.1048,0.0056,2.0
1.685,1.1014,0.0056,2.0
1.69,1.0927,0.0056,2.0
1.695,1.0916,0.0056,2.0
1.7,1.0842,0.0056,2.0
1.705,1.084,0.0057,2.0
1.71,1.0758,0.0057,2.0
1.715,1.0733,0.0057,2.0
1.72,1.0655,0.0057,2.0
1.725,1.0633,0.0057,2.0
1.73,1.0621,0.0058,2.0
1.735,1.0577,0.0058,2.0
1.74,1.0577,0.0059,2.0
1.745,1.0592,0.0059,2.0
1.75,1.05,0.0059,2.0
1.755,1.0501,0.0059,2.0
1.76,1.0468,0.006,2.0
1.765,1.0393,0.006,2.0
1.77,1.0397,0.0061,2.0
1.775,1.0385,0.0062,2.0
1.78,1.0324,0.0063,2.0
1.785,1.0334,0.0064,2.0
1.79,1.0267,0.0066,2.0
1.795,1.0238,0.0069,2.0
1.8,1.025,0.0077,2.0
1.805,1.0314,0.0068,1.0
1.81,1.0227,0.0091,2.0
1.815,1.0193,0.01,2.0
1.82,1.0184,0.011,2.0
1.825,1.0108,0.0121,2.0
1.83,1.0119,0.0154,2.0
1.835,1.002,0.0229,1.0
1.84,1.0125,0.0168,1.0
1.845,1.0055,0.0216,2.0
1.85,0.9678,0.0222,1.0
1.855,0.9849,0.0216,1.0
1.86,0.9942,0.0212,1.0
1.865,1.0049,0.016,1.0
1.87,0.97,0.0273,1.0
1.875,1.0,1.0,0.0
1.88,0.9684,0.021,1.0
1.885,0.974,0.0148,2.0
1.89,0.9812,0.0139,2.0
1.895,0.9838,0.0152,2.0
1.9,0.9697,0.0211,1.0
1.905,0.9668,0.0219,1.0
1.91,0.9791,0.0177,2.0
1.915,0.9733,0.0157,2.0
1.92,0.9732,0.0138,2.0
1.925,0.9648,0.0121,2.0
1.93,0.9664,0.0112,2.0
1.935,0.9682,0.0107,2.0
1.94,0.9646,0.0101,2.0
1.945,0.966,0.0098,2.0
1.95,0.9687,0.0098,2.0
1.955,0.9703,0.0099,2.0
1.96,0.9723,0.0097,2.0
1.965,0.9682,0.0092,2.0
1.97,0.9642,0.0083,2.0
1.975,0.9674,0.0077,2.0
1.98,0.9647,0.0073,2.0
1.985,0.9615,0.0071,2.0
1.99,0.9621,0.0073,2.0
1.995,0.9632,0.008,2.0
2.0,0.9669,0.0097,2.0
2.005,0.9805,0.0108,2.0
2.01,0.9848,0.0114,2.0
2.015,0.9718,0.0107,1.0
2.02,0.9878,0.0094,2.0
2.025,0.9828,0.0083,2.0
2.03,0.9823,0.0077,2.0
2.035,0.9824,0.0074,2.0
2.04,0.9826,0.0074,2.0
2.045,0.9822,0.0077,2.0
2.05,0.991,0.0082,2.0
2.055,0.9961,0.0085,2.0
2.06,0.9976,0.0087,2.0
2.065,1.0027,0.0086,2.0
2.07,1.0049,0.0086,2.0
2.075,1.0084,0.0085,2.0
2.08,1.0096,0.0081,2.0
2.085,1.0105,0.0079,2.0
2.09,1.0171,0.008,2.0
2.095,1.0206,0.008,2.0
2.1,1.0212,0.008,2.0
2.105,1.0259,0.0081,2.0
2.11,1.0313,0.0081,2.0
2.115,1.0375,0.0082,2.0
2.12,1.0381,0.0082,2.0
2.125,1.0393,0.0082,2.0
2.13,1.0432,0.0083,2.0
2.135,1.046,0.0083,2.0
2.14,1.0489,0.0084,2.0
2.145,1.0565,0.0085,2.0
2.15,1.0592,0.0085,2.0
2.155,1.0625,0.0086,2.0
2.16,1.0651,0.0087,2.0
2.165,1.0702,0.0088,2.0
2.17,1.0746,0.0088,2.0
2.175,1.0773,0.0088,2.0
2.18,1.0816,0.0088,2.0
2.185,1.0853,0.0089,2.0
2.19,1.0867,0.0089,2.0
2.195,1.0912,0.0091,2.0
2.2,1.0974,0.0094,2.0
2.205,1.104,0.0094,2.0
2.21,1.1042,0.0094,2.0
2.215,1.1076,0.0093,2.0
2.22,1.1115,0.0093,2.0
2.225,1.1116,0.0094,2.0
2.23,1.1205,0.0095,2.0
2.235,1.1223,0.0096,2.0
2.24,1.1252,0.0097,2.0
2.245,1.1312,0.0098,2.0
2.25,1.1348,0.0099,2.0
2.255,1.1386,0.01,2.0
2.26,1.1467,0.0102,2.0
2.265,1.1511,0.0103,2.0
2.27,1.1534,0.0104,2.0
2.275,1.1537,0.0104,2.0
2.28,1.1616,0.0106,2.0
2.285,1.1638,0.0107,2.0
2.29,1.1647,0.0107,2.0
2.295,1.1639,0.0109,2.0
2.3,1.1742,0.011,2.0
2.305,1.177,0.011,2.0
2.31,1.1737,0.0109,2.0
2.315,1.1803,0.0112,2.0
2.32,1.1852,0.0114,2.0
2.325,1.1924,0.0115,2.0
2.33,1.1901,0.0113,2.0
2.335,1.1921,0.0115,2.0
2.34,1.1994,0.0117,2.0
2.345,1.2024,0.012,2.0
2.35,1.187,0.0132,1.0
2.355,1.225,0.0111,1.0
2.36,1.2099,0.0121,2.0
2.365,1.2071,0.0124,2.0
2.37,1.2194,0.0129,2.0
2.375,1.2372,0.0117,1.0
2.38,1.2007,0.0141,1.0
2.385,1.2299,0.0132,2.0
2.39,1.2502,0.0121,1.0
2.395,1.2338,0.0131,2.0
2.4,1.2312,0.013,2.0
2.405,1.2341,0.0132,2.0
2.41,1.236,0.0135,2.0
2.415,1.2456,0.0138,2.0
2.42,1.2613,0.0126,1.0
2.425,1.2477,0.0137,2.0
2.43,1.0,1.0,0.0
2.435,1.2575,0.0142,2.0
2.44,1.2494,0.016,1.0
2.445,1.2511,0.0165,1.0
2.45,1.2527,0.0171,1.0
